Age_Group,State,Year,Deaths,Population,KFF_opioid_deaths,%_opioid_deaths
0-24,Kentucky,2014,1006,1442829,51.0,5.069582504970179
0-24,Kentucky,2015,1028,1435446,58.0,5.642023346303502
0-24,Kentucky,2016,1097,1430594,76.0,6.927985414767549
0-24,Kentucky,2017,1005,1428955,76.0,7.5621890547263675
0-24,Kentucky,2018,963,1426561,72.0,7.476635514018691
0-24,Louisiana,2009,1521,1587410,12.0,0.7889546351084813
0-24,Louisiana,2010,1345,1592546,16.0,1.1895910780669146
0-24,Louisiana,2012,1343,1593659,22.0,1.6381236038719285
0-24,Louisiana,2013,1403,1586199,29.0,2.066999287241625
0-24,Louisiana,2014,1330,1580086,23.0,1.7293233082706767
0-24,Louisiana,2015,1380,1570609,23.0,1.6666666666666667
0-24,Louisiana,2016,1397,1556482,35.0,2.505368647100931
0-24,Louisiana,2017,1322,1543550,26.0,1.9667170953101363
0-24,Louisiana,2018,1254,1521265,27.0,2.15311004784689
0-24,Maine,2009,208,338249,10.0,4.807692307692308
0-24,Maine,2014,202,248348,11.0,5.445544554455446
0-24,Maine,2015,193,223151,17.0,8.808290155440414
0-24,Maine,2016,220,295893,25.0,11.363636363636363
0-24,Maine,2017,180,220396,23.0,12.777777777777777
0-24,Maine,2018,175,238059,12.0,6.857142857142858
0-24,Maryland,2009,1289,1905848,62.0,4.809930178432894
0-24,Maryland,2010,1212,1910324,62.0,5.115511551155116
0-24,Maryland,2011,1238,1908477,68.0,5.492730210016155
0-24,Maryland,2012,1214,1911540,76.0,6.260296540362438
0-24,Maryland,2013,1177,1908601,71.0,6.032285471537808
0-24,Maryland,2014,1154,1912759,93.0,8.05892547660312
0-24,Maryland,2015,1281,1902348,87.0,6.791569086651054
0-24,Maryland,2016,1316,1895589,141.0,10.714285714285714
0-24,Maryland,2017,1270,1888194,142.0,11.181102362204724
0-24,Maryland,2018,1133,1871508,119.0,10.503089143865843
0-24,Massachusetts,2009,949,2097906,62.0,6.533192834562697
0-24,Massachusetts,2010,894,2096811,56.0,6.263982102908278
0-24,Massachusetts,2011,905,2084602,69.0,7.624309392265194
0-24,Massachusetts,2012,826,2086976,53.0,6.416464891041162
0-24,Massachusetts,2013,864,2084817,75.0,8.680555555555555
0-24,Massachusetts,2014,888,2089128,103.0,11.5990990990991
0-24,Massachusetts,2015,948,2088112,154.0,16.244725738396625
0-24,Massachusetts,2016,923,2082353,165.0,17.876489707475624
0-24,Massachusetts,2017,885,2070354,132.0,14.915254237288137
0-24,Massachusetts,2018,816,2068786,113.0,13.848039215686276
0-24,Michigan,2009,2206,3345390,70.0,3.1731640979147784
0-24,Michigan,2010,2132,3317957,85.0,3.9868667917448404
0-24,Michigan,2011,2109,3288895,83.0,3.9355144618302513
0-24,Michigan,2012,2167,3265545,77.0,3.5532994923857872
0-24,Michigan,2013,2068,3250105,99.0,4.787234042553192
0-24,Michigan,2014,2026,3227449,103.0,5.08390918065153
0-24,Michigan,2015,2046,3194722,123.0,6.011730205278592
0-24,Michigan,2016,2107,3166702,153.0,7.261509254864737
0-24,Michigan,2017,2042,3147456,162.0,7.933398628795299
0-24,Michigan,2018,1967,3126607,129.0,6.558210472801221
0-24,Minnesota,2009,849,1792305,38.0,4.47585394581861
0-24,Minnesota,2010,874,1786862,29.0,3.318077803203661
0-24,Minnesota,2011,849,1781872,34.0,4.004711425206125
0-24,Minnesota,2012,868,1782524,44.0,5.0691244239631335
0-24,Minnesota,2013,853,1786195,34.0,3.985932004689332
0-24,Minnesota,2014,880,1789315,34.0,3.8636363636363633
0-24,Minnesota,2015,906,1790685,34.0,3.7527593818984544
0-24,Minnesota,2016,904,1795875,61.0,6.7477876106194685
0-24,Minnesota,2017,869,1804045,57.0,6.559263521288838
0-24,Minnesota,2018,875,1804251,42.0,4.8
0-24,Mississippi,2014,891,1042369,16.0,1.7957351290684627
0-24,Mississippi,2016,906,1017205,13.0,1.434878587196468
0-24,Mississippi,2017,879,1005947,12.0,1.3651877133105803
0-24,Missouri,2009,1520,2015027,81.0,5.328947368421052
